LSite,Date,Stream,12-Digit HUC,14-Digit HUC,LATITUDE_MEASURE,LONGITUDE_MEASURE,TAXA_COUNT
WWU140-0038,11-Oct-06,West Fork White River,051202011407,05120201140130,39.50245165,-86.34842039,25
WWL020-0057,10-Oct-06,West Fork White River,051202020202,05120202020010,39.33839328,-86.70875859,15
WPA040-0039,06-Sep-06,Patoka River,051202090406,05120209040080,38.34418477,-86.99659561,36
WPA020-0050,06-Sep-06,Patoka River,051202090404,05120209020080,38.39691376,-86.91445475,22
WPA020-0052,11-Oct-06,Patoka River,051202090403,05120209020060,38.42824846,-86.8703491,6
WPA040-0047,12-Oct-06,Patoka River,051202090406,05120209040080,38.36619678,-87.04024663,14
WPA040-0049,06-Sep-06,Patoka River,051202090406,05120209040070,38.3354826,-86.9901383,33
WPA020-0056,07-Sep-06,Patoka River,051202090402,05120209020040,38.47055028,-86.76182094,23
WWE030-0008,17-Jul-06,Little Walnut Creek,051202030203,05120203030050,39.63190499,-86.94128419,59
WWU150-0044,10-Jul-06,East Fork White Lick Creek,051202011309,05120201150160,39.59895873,-86.36652156,35
WWL020-0054,19-Jul-06,Raccoon Creek,051202020207,05120202020080,39.20488983,-86.75701655,53
WWU040-0034,18-Jul-06,Killbuck Creek,051202010307,05120201040050,40.19393958,-85.59402751,30
WWE060-0036,17-Jul-06,Mill Creek,051202030509,05120203060120,39.5102899,-86.7015573,40
WWL020-0055,19-Jul-06,Fish Creek,051202020209,05120202020140,39.21245235,-86.90575378,40
WWU010-0037,17-Jul-06,Little Stoney Creek,051202010107,05120201010070,40.08040297,-85.22127026,31
WWE020-0016,17-Jul-06,Big Walnut Creek,051202030404,05120203020070,39.62545891,-86.90456603,47
WWU150-0045,24-Jul-06,White Lick Creek,051202011303,05120201150040,39.76399751,-86.41861523,36
WWU070-0043,19-Jul-06,West Fork White River,051202010701,05120201070010,40.135778,-85.956131,42
WWL020-0056,19-Jul-06,McCormicks Creek,051202020203,05120202020030,39.24983721,-86.67152828,18
WWU120-0079,24-Jul-06,Little Eagle Creek,051202011104,05120201120070,39.99879047,-86.23968241,44
WWE080-0011,18-Jul-06,Tributary of Birch Creek,051202030601,05120203080040,39.50647137,-87.1192335,26
WWL090-0031,25-Jul-06,Veale Creek,051202020902,05120202090030,38.60541325,-87.18288836,32
WWL040-0056,24-Jul-06,Plummer Creek,051202020309,05120202040090,38.99590748,-86.89106422,58
WWU130-0048,26-Jul-06,Pleasant Run Creek,051202011206,05120201130110,39.62742245,-86.18044674,24
WWL010-0045,27-Jul-06,Beanblossom Creek,051202020102,05120202010030,39.26209,-86.32531,41
WWU150-0046,24-Jul-06,White Lick Creek,051202011302,05120201150020,39.85504408,-86.39612756,28
WWU080-0042,18-Jul-06,Cicero Creek,051202010605,05120201080050,40.26469451,-86.01082881,28
WWE090-0044,18-Jul-06,Connelly Ditch,051202030804,05120203090050,39.31839626,-87.09601315,50
WWE070-0010,18-Jul-06,Croys Creek,051202030701,05120203070010,39.53292895,-87.04201267,59
WWU110-0013,19-Jul-06,India Branch,051202010902,05120201110020,39.88645644,-85.95321592,23
WWL080-0041,25-Jul-06,Killion Canal,051202020707,05120202080070,38.71347662,-87.19569908,40
WWU010-0039,17-Jul-06,West Fork White River,051202010102,05120201010020,40.18622481,-84.9369664,35
WWL040-0057,24-Jul-06,Richland Creek,051202020305,05120202040030,39.08078227,-86.8469522,54
WWU150-0047,24-Jul-06,East Fork White Lick Creek,051202011308,05120201150140,39.75530477,-86.31063194,29
WWU100-0038,18-Jul-06,Lick Creek,051202010805,05120201100100,39.97031861,-85.61447833,31
WWL050-0038,25-Jul-06,Timmons Ditch,051202020505,05120202050080,38.97897135,-87.05755991,35
WWL020-0058,24-Jul-06,Fish Creek,051202020209,05120202020140,39.17572187,-86.90259331,33
WWE060-0039,12-Oct-06,Mud Creek,051202030504,05120203060070,39.57607017,-86.63179587,29
WWU080-0043,18-Jul-06,Christy Ditch,051202010602,05120201080010,40.22823624,-86.22247729,38
WWU090-0033,19-Jul-06,West Fork White River,051202011006,05120201090050,39.90898492,-86.1054832,31
WPA060-0039,01-Aug-06,Rock Creek,051202090602,05120209060020,38.33061745,-87.10230212,56
WPA040-0038,25-Jul-06,Altar Creek,051202090406,05120209040080,38.41784511,-87.00215186,66
WPA010-0031,01-Aug-06,Ritter Creek,051202090105,05120209010100,38.36159997,-86.65807067,24
WPA080-0041,02-Aug-06,Hurricane Creek,051202090802,05120209080010,38.35691968,-87.34312238,38
WPA030-0014,02-Aug-06,Tributary of Flat Creek,051202090202,05120209030040,38.31363595,-86.81043423,19
WPA020-0049,01-Aug-06,Leistner Creek,051202090402,05120209020040,38.48127306,-86.81778973,13
WPA080-0042,05-Sep-06,Patoka River,051202090807,05120209080080,38.39878553,-87.71170489,22
WPA040-0042,31-Jul-06,Tributary of Hunley Creek,051202090301,05120209040010,38.18971892,-86.93476346,16
WPA010-0034,01-Aug-06,Ritter Creek,051202090105,05120209010100,38.36804503,-86.66522364,23
WPA040-0044,31-Jul-06,Green Creek,051202090301,05120209040020,38.24345436,-86.86946302,45
WPA020-0051,07-Aug-06,Polson Creek,051202090403,05120209020050,38.43846651,-86.80668874,25
WPA010-0038,07-Aug-06,Patoka River,051202090102,05120209010040,38.44067588,-86.48325625,21
WPA080-0045,11-Sep-06,Patoka River,051202090807,05120209080080,38.39746613,-87.60202326,31
WPA030-0015,08-Aug-06,Hall Creek,051202090201,05120209030030,38.35649289,-86.88591447,31
WPA070-0018,01-Aug-06,South Fork Patoka River,051202090702,05120209070030,38.29460504,-87.24786282,13
WPA050-0014,26-Jul-06,Flat Creek,051202090502,05120209050020,38.40388753,-87.07633789,58
WPA010-0042,07-Aug-06,Patoka River,051202090102,05120209010040,38.44735671,-86.46982738,43
WPA080-0047,11-Sep-06,Patoka River,051202090806,05120209080070,38.39267635,-87.54823388,23
WPA040-0048,31-Jul-06,Hunley Creek,051202090301,05120209040020,38.25295386,-86.90247174,58
WPA080-0048,02-Aug-06,Keg Creek,051202090801,05120209080020,38.31819619,-87.3604975,40
WPA030-0016,02-Aug-06,Flat Creek,051202090202,05120209030050,38.31756923,-86.84643603,23
