ACTIVITY_NO,EVENT_NUM,STATION_NAME,COUNTY_NAME,WATERBODY_NAME,STATION_DESC,COMMON_NAME,FISH_COUNT,TOTAL WEIGHT (grams),MINIMUM LENGTH (millimeters),MAXIMUM LENGTH (millimeters),MUSEUM_FISH_COUNT,DEFORMITY_COUNT,FIN_EROSION_COUNT,LESION_COUNT,TUMOR_COUNT,MULTI_ANOMALY_COUNT,ANCHOR_WORMS_COUNT,LEECHES_COUNT,SWIRLED_SCALES_COUNT,POP_EYE_COUNT,EMACIATED_COUNT,FUNGUS_COUNT,PARASITES_COUNT
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Banded Darter,10,17.5,50,56,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Banded Sculpin,7,29.5,45,104,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Bluntnose Minnow,9,20.5,24,78,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Central Stoneroller,26,168.5,33,125,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Creek Chub,11,137,39,154,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Fantail Darter,5,9.5,49,68,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Fathead Minnow,1,2,62,62,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Green Sunfish,1,2.5,51,51,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Greenside Darter,12,98.5,81,105,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Longear Sunfish,28,287,45,123,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Mimic Shiner,1,1,51,51,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Northern Hog Sucker,7,149.5,52,166,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Rainbow Darter,1,3,59,59,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Rock Bass,4,172,75,151,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Scarlet Shiner,3,7.5,59,82,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Smallmouth Bass,1,102.5,205,205,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Spotfin Shiner,4,11,59,97,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Striped Shiner,16,21,31,84,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,White Sucker,2,4,55,59,0,,,,,,,,,,,,
AB11757,13W003,OBS130-0002,Washington,South Fork Blue River,West Fredericksburg Road,Yellow Bullhead,1,13.5,95,95,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Banded Sculpin,4,14,49,82,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Black Redhorse,24,7150,230,365,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Blackstripe Topminnow,1,3,62,62,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Bluntnose Minnow,3,8,59,69,2,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Central Stoneroller,1,0.5,39,39,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Fantail Darter,1,2,53,53,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Green Sunfish,1,22,82,87,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Greenside Darter,4,32.5,,,1,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Largemouth Bass,1,1.5,52,52,1,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Longear Sunfish,73,976,46,155,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Mimic Shiner,8,8.5,50,56,8,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Northern Hog Sucker,1,25.5,134,134,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Rainbow Darter,1,2.5,59,59,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Rock Bass,30,1479,62,215,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Smallmouth Bass,3,55,41,165,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Spotted Sucker,1,361,310,310,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Stonecat,1,5,76,76,0,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Striped Shiner,23,13.5,28,71,23,,,,,,,,,,,,
AB11758,13W004,OBS140-0006,Harrison,Blue River,SR 64,Yellow Bullhead,2,129,158,186,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Banded Darter,2,2.5,39,50,1,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Banded Sculpin,1,8,80,80,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Bigeye Chub,1,1,35,35,1,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Black Redhorse,3,1155.5,319,345,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Bluegill,14,495,87,180,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Bluntnose Minnow,21,12,28,81,20,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Channel Catfish,7,1429,219,691,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Gizzard Shad,12,1711,215,292,0,1,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Golden Redhorse,6,3110,237,402,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Greenside Darter,2,8,49,81,1,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Largemouth Bass,1,120,218,218,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Logperch,5,68.5,98,155,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Longear Sunfish,113,1583,55,142,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Longnose Gar,1,288,520,520,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Northern Hog Sucker,2,396.5,167,316,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Quillback,1,681,369,369,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Redear Sunfish,1,59,150,150,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Rock Bass,28,2092,57,229,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Shorthead Redhorse,1,432,342,342,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Smallmouth Bass,1,62.5,181,181,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Spotted Bass,9,551.5,48,255,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Spotted Sucker,1,143,243,243,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Warmouth,1,120,179,179,0,,,,,,,,,,,,
AB11761,13W005,OBS150-0021,Crawford,Blue River,SR 62,Yellow Bullhead,2,174.5,145,213,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Bluegill,4,83,90,127,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Gizzard Shad,1,253.5,296,296,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Golden Redhorse,1,644.5,380,380,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Green Sunfish,1,76.5,158,158,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Longear Sunfish,31,380,55,113,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Redear Sunfish,1,26,115,115,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Slenderhead Darter,1,1,65,65,0,,,,,,,,,,,,
AB11760,13W006,OBS150-0020,Harrison,Blue River,SR 62,Spotted Bass,3,269,55,272,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Banded Sculpin,1,5.5,73,73,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Bluegill,12,347.5,46,151,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Bluntnose Minnow,11,6,33,46,11,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Gizzard Shad,8,1309.5,258,290,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Golden Redhorse,3,1294.5,212,388,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Green Sunfish,8,211,62,133,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Logperch,1,8,99,99,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Longear Sunfish,58,883,46,135,1,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Rainbow Darter,1,0.5,32,32,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Redear Sunfish,2,34,86,113,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Rock Bass,1,2,43,43,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Smallmouth Bass,4,7.5,47,57,3,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Smallmouth Buffalo,1,1362,487,487,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Spotted Bass,5,336.5,61,235,0,1,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Spotted Sucker,1,209,275,275,0,,,,,,,,,,,,
AB11759,13W007,OBS150-0001,Crawford,Blue River,SR 62,Warmouth,2,41,93,106,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Banded Darter,26,57,32,56,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Blacknose Dace,5,6.5,41,55,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Bluntnose Minnow,185,520,30,89,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Central Stoneroller,148,997,55,123,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Creek Chub,10,55.5,61,114,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Emerald Shiner,1,2,61,61,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Fantail Darter,8,5,34,46,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Golden Redhorse,6,38.5,75,96,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Greenside Darter,6,13,36,75,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Johnny Darter,2,1.5,50,51,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Logperch,2,24,115,123,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Longear Sunfish,7,67,74,94,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Mottled Sculpin,2,4.5,50,57,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Northern Hog Sucker,4,490,90,275,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Orangethroat Darter,23,23.5,40,55,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Rock Bass,7,705,124,224,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Rosyface Shiner,9,19.5,61,79,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Sand Shiner,85,159.5,40,68,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Silverjaw Minnow,10,19,58,72,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Spotfin Shiner,19,50,58,90,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Spotted Bass,1,147,225,225,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Stonecat,1,1.5,60,60,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Striped Shiner,34,376,55,156,0,,,,,,,,,,,,
AB17186,14003,GMW-05-0001,Franklin,Little Salt Creek,Stipps Hill Road,Yellow Bullhead,9,316.5,75,186,0,,,,,,,,,,,,
AB17183,14004,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Banded Darter,19,28,39,49,0,,,,,,,,,,,,
AB17183,14004,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Blacknose Dace,4,13,64,71,0,,,,,,,,,,,,
AB17183,14004,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Central Stoneroller,53,92,21,67,0,,,,,,,,,,,,
AB17183,14004,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Creek Chub,74,96,33,87,0,,,,,,,,,,,,
AB17183,14004,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Rainbow Darter,4,3,41,47,0,,,,,,,,,,,,
AB17183,14004,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Southern Redbelly Dace,13,27,37,65,0,,,,,,,,,,,,
AB18797,14004.5,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Blacknose Dace,41,36,27,64,0,,,,,,,,,,,,
AB18797,14004.5,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Central Stoneroller,3,2,32,45,0,,,,,,,,,,,,
AB18797,14004.5,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Creek Chub,14,15,25,60,0,,,,,,,,,,,,
AB18797,14004.5,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Orangethroat Darter,5,1,30,32,0,,,,,,,,,,,,
AB18797,14004.5,GMW-03-0007,Wayne,Centeral Run,Willow Grove Road,Southern Redbelly Dace,2,2,44,48,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Banded Darter,10,20,39,64,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Black Redhorse,18,3860,169,342,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Blacknose Dace,4,20,54,68,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Bluegill,3,10,40,85,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Bluntnose Minnow,47,256,27,94,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Central Stoneroller,119,2092,59,155,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Creek Chub,7,19,28,135,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Golden Redhorse,4,485,204,234,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Greenside Darter,19,93,54,90,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Longear Sunfish,4,58,47,116,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Mottled Sculpin,36,145,24,104,1,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Northern Hog Sucker,13,1013,86,273,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Orangethroat Darter,3,3,41,43,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Rainbow Darter,20,59,39,65,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Rock Bass,13,723,84,181,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Rosyface Shiner,7,69,56,75,4,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Sand Shiner,4,9,59,69,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Scarlet Shiner,3,11,65,88,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Silver Shiner,11,33,67,96,11,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Smallmouth Bass,3,1380,141,400,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Spotfin Shiner,2,10,73,94,0,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,Striped Shiner,53,936,58,176,1,,,,,,,,,,,,
AB17205,14005,GMW-02-0001,Wayne,Greens Fork,Carlos Road,White Sucker,15,1724,104,286,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Banded Darter,26,35,38,52,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Blacknose Dace,4,11,62,64,0,,,,,,,,,,,,1
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Bluntnose Minnow,72,351,35,96,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Central Stoneroller,46,158,50,95,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Creek Chub,12,62,30,121,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Fantail Darter,39,37,32,65,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Greenside Darter,8,17,59,66,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Johnny Darter,15,16,40,59,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Northern Hog Sucker,1,4,70,70,,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Orangethroat Darter,8,11,41,58,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Rainbow Darter,12,14,39,56,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Sand Shiner,15,29,53,67,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Silverjaw Minnow,7,17,57,69,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Smallmouth Bass,1,14,104,104,0,,,,,,,,,,,,
AB17185,14006,GMW-07-0007,Union,Hanna Creek,,Striped Shiner,1,4,69,69,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Banded Darter,4,5,41,55,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Black Redhorse,34,1006.5,25,315,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Blackstripe Topminnow,1,2,59,59,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Bluntnose Minnow,76,233,20,89,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Central Stoneroller,107,183.5,37,138,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Common Carp,1,1736,491,491,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Creek Chub,27,98.5,20,119,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Green Sunfish,10,64,23,79,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Greenside Darter,5,8,25,86,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Johnny Darter,2,2.5,20,53,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Mottled Sculpin,2,8,60,67,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Northern Hog Sucker,5,321.5,85,300,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Rainbow Darter,5,22,42,53,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Rock Bass,9,390,49,181,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Rosyface Shiner,2,3,44,62,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Sand Shiner,3,5,46,67,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Silverjaw Minnow,2,6,69,71,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Smallmouth Bass,10,42,39,145,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Striped Shiner,13,233.5,62,156,0,,,,,,,,,,,,
AB17212,14009,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Yellow Bullhead,1,60,160,160,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Black Redhorse,1,147,250,250,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Blackstripe Topminnow,5,8,25,78,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Bluegill,1,6,73,73,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Bluntnose Minnow,3,7,51,62,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Central Stoneroller,4,5,40,55,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Creek Chub,22,71,44,96,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Green Sunfish,4,34,63,101,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Greenside Darter,1,1,54,54,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Johnny Darter,5,11,40,61,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Longear Sunfish,1,32,115,115,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Mottled Sculpin,31,32,30,58,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Northern Hog Sucker,2,759,248,382,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Orangethroat Darter,6,7,35,55,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Rainbow Darter,7,5,35,55,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Rock Bass,10,313,65,138,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Spotted Bass,2,15,64,91,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Striped Shiner,1,3,71,71,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,White Sucker,3,184,71,266,0,,,,,,,,,,,,
AB18796,14009.5,GMW-03-0008,Wayne,Nolands Fork,Nolands Fork Road,Yellow Bullhead,1,63,175,175,0,,,,,,,,,,,,
AB17195,14011,GMW-04-0002,Fayette,Whitewater River,SR 121,Banded Darter,86,103.5,32,59,3,,,,,,,,,,,,
AB17195,14011,GMW-04-0002,Fayette,Whitewater River,SR 121,Black Redhorse,25,10660,135,435,0,,,,,,,,,,,,
AB17195,14011,GMW-04-0002,Fayette,Whitewater River,SR 121,Blacknose Dace,3,3,47,56,0,,,,,,,,,,,,
